OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
242,48029181004,4813,19531553.453125,18773.4051209129
243,48029181005,3799,11711772.8242188,14854.7455524452
244,48029181100,5665,38076449.0878906,26706.8436589802
245,48029181200,4803,40742735.6113281,33949.2720417855
246,48029181301,4191,15466263.7460938,18217.2306913212
247,48029181302,6188,27348201.9375,22805.4206754925
248,48029181303,3565,22492155.1992188,22086.1550284551
249,48029181402,1995,39263587.3554688,24493.7165974896
250,48029181403,5635,11443915.9667969,14627.3870707885
251,48029181404,4550,28587641.0976562,25525.9728951231
252,48029181503,6201,23913166.1660156,23447.923157215
253,48029181504,5796,17760402.5507812,19353.8981690436
254,48029181505,4341,23575417.7226562,23839.4871017813
255,48029181506,4135,25987380.5878906,25730.8124621753
256,48029181601,3082,27852859.1933594,28175.7896813982
257,48029181602,5575,40110025.40625,27303.5710360327
258,48029181703,6952,41250297.2402344,28865.0640451601
259,48029181704,5523,62172269.6015625,36387.5103918838
260,48029181705,4882,48326388.1484375,30149.5659764733
261,48029181711,7741,40291553.6933594,26528.6382197602
262,48029181712,3821,18058428.5351562,18857.6590670603
263,48029181713,7319,45045456.9453125,33215.9847782759
264,48029181715,6379,20791610.1757812,21015.7285117698
265,48029181716,7342,41890987.9746094,33570.2220284399
266,48029181718,5208,26737871.1308594,24402.2233105453
267,48029181720,4420,21279933.0136719,20462.1012207411
268,48029181721,3508,20033599.453125,23582.5815850902
269,48029181722,4540,18371910.5371094,20031.0031848058
270,48029181723,4591,15489819.6269531,18448.8132732505
271,48029181724,4267,76866597.4042969,36065.3066070663
272,48029181725,5411,33615594.6601562,37581.4958489279
273,48029181726,9610,72813686.5878906,33540.6952579588
274,48029181727,3168,30363138.3144531,32803.4005263749
275,48029181728,10170,67037641.7675781,33665.6522402087
276,48029181729,3443,94085948.3398438,38519.4382652393
277,48029181730,3987,16560919.671875,24698.3545432068
278,48029181731,7203,29314910.4394531,26850.6315329023
