stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
74673,74673,MALONE & FAYETTE,,29.387333,-98.509697,,,,,,0
75783,75783,MALONE & BASTROP,W Malone Ave & Bastrop St,29.386906,-98.506022,,,,,,0
76743,76743,MALONE & S. FLORES,W Malone Ave & E Malone Ave,29.386907,-98.503663,,,,,,0
67846,67846,PROBANDT OPPOSITE FRANCISCAN,,29.390972,-98.499987,,,,,,0
67276,67276,PROBANDT & MITCHELL,Probandt St & W Mitchell St,29.393947,-98.498847,,,,,,0
58626,58626,PROBANDT OPPOSITE KING ROGER,Probandt St & W Mitchell St,29.397188,-98.495954,,,,,,0
58386,58386,PROBANDT & GUGERT,,29.398644,-98.495189,,,,,,0
48886,48886,PROBANDT OPPOSITE HELENA,,29.400629,-98.494901,,,,,,0
48486,48486,PROBANDT & LONE STAR,,29.402912,-98.494932,,,,,,0
38886,38886,PROBANDT OPPOSITE SIMON,,29.405385,-98.495077,,,,,,0
38456,38456,PROBANDT OPPOSITE CEVALLOS,,29.407108,-98.495469,,,,,,0
28956,28956,S. ALAMO & BLUE STAR PL.,,29.41014,-98.495511,,,,,,0
29646,29646,S. Alamo Opposite E. Sheridan,,29.412704,-98.491701,,,,,,0
29196,29196,S. ALAMO & CEDAR,,29.414238,-98.490629,,,,,,0
11866,11866,S. ALAMO & BARRERA,,29.41681,-98.488507,,,,,,0
91276,91276,ALAMO & MARKET - 300 FT. SOUTH,,29.422008,-98.487508,,,,,,0
91139,91139,COMMERCE & PRESA,,29.424038,-98.48893,,,,,,0
66166,66166,N. FLORES & POPLAR,,29.437742,-98.502587,,,,,,0
56846,56846,N. FLORES & CYPRESS,W Cypress St & Hitchings Ct,29.439182,-98.50303,,,,,,0
45959,45959,CULEBRA & SAN MARCOS (MPRR),,29.443399,-98.506638,,,,,,0
44889,44889,CULEBRA & COLORADO,,29.443687,-98.508926,,,,,,0
44829,44829,CULEBRA & BRAZOS (515),Culebra Ave & Meridian Ave,29.44387,-98.511896,,,,,,0
43719,43719,CULEBRA & MCALLISTER,,29.444334,-98.516574,,,,,,0
42739,42739,CULEBRA & SABINAS,,29.444541,-98.518078,,,,,,0
41669,41669,CULEBRA & NAVIDAD,,29.444747,-98.520346,,,,,,0
41619,41619,CULEBRA & CALAVERAS,,29.444945,-98.522562,,,,,,0
48579,48579,CULEBRA & ELMENDORF,,29.445412,-98.527045,,,,,,0
48529,48529,CULEBRA & HAMILTON,,29.445655,-98.529343,,,,,,0
47469,47469,CULEBRA & WILLIAMS,Culebra Ave & Williams Ave,29.445872,-98.531323,,,,,,0
46499,46499,CULEBRA & GLENMORE,Culebra Ave & Glenmore Ave,29.446096,-98.53356,,,,,,0
46449,46449,CULEBRA & GOODRICH,Culebra Ave & Goodrich Ave,29.446293,-98.535683,,,,,,0
