block_group,B08301_001E,B08301_002E,B08301_003E,B08301_004E,B08301_011E,B08301_021E
480291209012,719.0,638.0,553.0,85.0,48.0,0.0
480291209011,390.0,318.0,249.0,69.0,10.0,7.0
480291211122,800.0,711.0,661.0,50.0,23.0,36.0
480291519001,653.0,517.0,413.0,104.0,24.0,6.0
480291409002,489.0,475.0,386.0,89.0,6.0,0.0
480291417001,1333.0,1282.0,1083.0,199.0,7.0,44.0
480291417002,1330.0,1280.0,1026.0,254.0,12.0,38.0
480291505012,459.0,392.0,329.0,63.0,29.0,20.0
480291505014,573.0,565.0,478.0,87.0,0.0,0.0
480291604002,742.0,651.0,615.0,36.0,53.0,30.0
480291604004,303.0,294.0,240.0,54.0,9.0,0.0
480291604001,499.0,498.0,498.0,0.0,1.0,0.0
480291604003,420.0,376.0,376.0,0.0,0.0,44.0
480291611005,716.0,610.0,544.0,66.0,76.0,0.0
480291611006,204.0,163.0,154.0,9.0,41.0,0.0
480291611001,1489.0,1410.0,1182.0,228.0,21.0,32.0
480291611004,840.0,840.0,663.0,177.0,0.0,0.0
480291611003,530.0,428.0,373.0,55.0,39.0,63.0
480291611002,302.0,302.0,217.0,85.0,0.0,0.0
480291813012,877.0,785.0,757.0,28.0,75.0,17.0
480291813011,1789.0,1723.0,1553.0,170.0,28.0,38.0
480291814021,427.0,317.0,245.0,72.0,0.0,34.0
480291814022,703.0,607.0,595.0,12.0,58.0,0.0
480291109001,1147.0,875.0,811.0,64.0,84.0,66.0
480291110003,735.0,624.0,561.0,63.0,53.0,43.0
480291110002,310.0,214.0,210.0,4.0,17.0,42.0
480291204001,781.0,781.0,762.0,19.0,0.0,0.0
480291204005,522.0,401.0,401.0,0.0,0.0,68.0
480291710004,569.0,538.0,431.0,107.0,31.0,0.0
480291204003,381.0,298.0,271.0,27.0,0.0,67.0
480291207021,1151.0,1052.0,1001.0,51.0,0.0,54.0
480291704014,329.0,248.0,177.0,71.0,24.0,31.0
480291710001,338.0,310.0,293.0,17.0,28.0,0.0
480291710002,184.0,168.0,156.0,12.0,0.0,0.0
480291717001,971.0,890.0,664.0,226.0,0.0,0.0
480291717003,376.0,376.0,362.0,14.0,0.0,0.0
480291215013,1398.0,1351.0,1280.0,71.0,0.0,15.0
480291215011,1374.0,1269.0,1208.0,61.0,0.0,105.0
480291215074,667.0,636.0,554.0,82.0,25.0,6.0
480291215071,421.0,395.0,378.0,17.0,0.0,26.0
480291215072,437.0,405.0,387.0,18.0,0.0,32.0
480291312002,582.0,549.0,516.0,33.0,0.0,33.0
480291401002,293.0,250.0,206.0,44.0,12.0,20.0
480291401001,347.0,284.0,233.0,51.0,15.0,19.0
480291404004,262.0,225.0,183.0,42.0,11.0,0.0
480291101002,428.0,271.0,246.0,25.0,29.0,48.0
480291209022,930.0,907.0,872.0,35.0,0.0,23.0
480291209021,1240.0,1031.0,956.0,75.0,132.0,21.0
480291214033,969.0,886.0,743.0,143.0,31.0,25.0
480291214031,882.0,775.0,649.0,126.0,26.0,20.0
480291216042,624.0,624.0,589.0,35.0,0.0,0.0
480291216043,405.0,405.0,405.0,0.0,0.0,0.0
480291306004,331.0,293.0,293.0,0.0,38.0,0.0
480291207022,337.0,323.0,300.0,23.0,0.0,14.0
480291213003,286.0,286.0,225.0,61.0,0.0,0.0
480291213001,1432.0,1413.0,1248.0,165.0,0.0,19.0
480291703004,234.0,234.0,234.0,0.0,0.0,0.0
480291703002,147.0,127.0,127.0,0.0,0.0,0.0
480291703006,312.0,312.0,278.0,34.0,0.0,0.0
480291703005,718.0,652.0,611.0,41.0,12.0,0.0
480291703003,234.0,176.0,166.0,10.0,35.0,0.0
480291704024,257.0,150.0,127.0,23.0,70.0,37.0
480291704021,694.0,651.0,554.0,97.0,36.0,7.0
480291706001,656.0,596.0,520.0,76.0,37.0,0.0
480291706004,594.0,488.0,424.0,64.0,58.0,0.0
480291706003,601.0,556.0,381.0,175.0,33.0,12.0
480291707003,880.0,794.0,683.0,111.0,30.0,1.0
480291707002,449.0,418.0,362.0,56.0,14.0,17.0
480291212044,575.0,454.0,435.0,19.0,27.0,64.0
480291212043,498.0,386.0,358.0,28.0,68.0,0.0
480291404001,368.0,341.0,293.0,48.0,13.0,9.0
480291404002,605.0,560.0,506.0,54.0,11.0,19.0
480291504003,1309.0,1113.0,950.0,163.0,72.0,65.0
480291215052,357.0,331.0,331.0,0.0,0.0,0.0
480291403002,450.0,372.0,239.0,133.0,62.0,0.0
480291403003,490.0,357.0,278.0,79.0,60.0,46.0
480291520001,1118.0,928.0,707.0,221.0,16.0,105.0
480291701011,322.0,282.0,176.0,106.0,7.0,0.0
480291701012,620.0,534.0,410.0,124.0,43.0,0.0
480291718022,585.0,569.0,316.0,253.0,0.0,16.0
480291718025,340.0,296.0,296.0,0.0,0.0,15.0
480291718023,693.0,550.0,320.0,230.0,125.0,18.0
480291408004,231.0,205.0,197.0,8.0,26.0,0.0
480291408001,667.0,645.0,561.0,84.0,0.0,2.0
480291408005,755.0,691.0,337.0,354.0,8.0,0.0
480291408003,215.0,215.0,170.0,45.0,0.0,0.0
480291408002,600.0,558.0,451.0,107.0,12.0,0.0
480291505023,400.0,374.0,374.0,0.0,26.0,0.0
480291505022,604.0,604.0,458.0,146.0,0.0,0.0
