block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291811003,2829.0,1169.0,972.0,0.0,143.0,54.0,1660.0
480291909015,1284.0,722.0,690.0,12.0,20.0,0.0,562.0
480291909013,367.0,91.0,91.0,0.0,0.0,0.0,276.0
480291809014,1188.0,193.0,193.0,0.0,0.0,0.0,995.0
480291813031,1960.0,927.0,763.0,7.0,157.0,0.0,1033.0
480291815041,2049.0,1091.0,521.0,371.0,95.0,104.0,958.0
480291815042,2632.0,1559.0,593.0,623.0,254.0,89.0,1073.0
480291816012,2351.0,577.0,486.0,77.0,0.0,14.0,1774.0
480291906011,1737.0,200.0,200.0,0.0,0.0,0.0,1537.0
480291818091,1330.0,809.0,651.0,48.0,69.0,41.0,521.0
480291818092,2281.0,704.0,246.0,342.0,75.0,41.0,1577.0
480291818094,1432.0,579.0,325.0,98.0,109.0,47.0,853.0
480291906013,973.0,7.0,7.0,0.0,0.0,0.0,966.0
480291910041,1656.0,300.0,125.0,59.0,42.0,74.0,1356.0
480291910043,849.0,138.0,33.0,14.0,91.0,0.0,711.0
480291813022,2394.0,1139.0,956.0,79.0,58.0,46.0,1255.0
480291212063,786.0,495.0,495.0,0.0,0.0,0.0,291.0
480291212061,1294.0,1008.0,910.0,81.0,0.0,17.0,286.0
480291212065,2299.0,957.0,274.0,683.0,0.0,0.0,1342.0
480291212062,1193.0,874.0,736.0,23.0,0.0,115.0,319.0
480291214022,1233.0,423.0,205.0,205.0,0.0,13.0,810.0
480291214021,6269.0,2286.0,769.0,978.0,471.0,68.0,3983.0
480291218031,1622.0,910.0,742.0,83.0,25.0,60.0,712.0
480291218032,698.0,410.0,315.0,95.0,0.0,0.0,288.0
480291218033,2202.0,1012.0,674.0,279.0,10.0,49.0,1190.0
480291218041,2224.0,1247.0,1159.0,0.0,59.0,29.0,977.0
480291218042,3031.0,1540.0,1233.0,226.0,40.0,41.0,1491.0
480291218043,1854.0,890.0,671.0,167.0,52.0,0.0,964.0
480291308001,3064.0,2093.0,192.0,1790.0,0.0,111.0,971.0
480291308004,1543.0,134.0,3.0,130.0,0.0,1.0,1409.0
480291308002,795.0,607.0,20.0,554.0,0.0,33.0,188.0
480291308003,509.0,401.0,53.0,333.0,0.0,15.0,108.0
480291311003,902.0,290.0,12.0,242.0,0.0,36.0,612.0
480291311002,929.0,317.0,3.0,305.0,0.0,9.0,612.0
480291602002,1009.0,23.0,23.0,0.0,0.0,0.0,986.0
480291817134,1793.0,533.0,442.0,89.0,0.0,2.0,1260.0
480291817132,1858.0,554.0,308.0,231.0,0.0,15.0,1304.0
480291817133,1878.0,891.0,844.0,18.0,15.0,14.0,987.0
480291815054,1399.0,443.0,363.0,50.0,23.0,7.0,956.0
480291815053,1067.0,592.0,532.0,24.0,36.0,0.0,475.0
480291815051,849.0,463.0,463.0,0.0,0.0,0.0,386.0
480291817042,1476.0,301.0,293.0,8.0,0.0,0.0,1175.0
480291817044,997.0,173.0,91.0,82.0,0.0,0.0,824.0
480291817111,3392.0,1026.0,796.0,0.0,205.0,25.0,2366.0
480291907002,701.0,330.0,285.0,43.0,0.0,2.0,371.0
480291907003,1389.0,123.0,76.0,47.0,0.0,0.0,1266.0
